ID,category,page,word,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
45,2,42,hinauf,uehi,alt,M,Lauterbrunnen BE,BE16,HZVF,042_hinauf_uehi_alt_M_Lauterbrunnen_BE16_HZVF,Wortschatz,Häufige Wörter,hinauf,42
46,3,46,Küken,Bideli,alt,M,Langnau BE,BE15,NFNF,046_Küken_Bideli_alt_M_Langnau_BE15_NFNF,Wortschatz,Tier,Küken,46
47,4,70,Zaun,Zuin,alt,W,Blatten VS,VS01,YELS,070_Zaun_Zuin_alt_W_Blatten_VS01_YELS,Wortschatz,Haus und Garten,Zaun,70
48,15,296,Der Geissbock ist wild,wildi,alt,W,Zermatt VS,VS11,IJMG,296_Der_Geissbock_ist_wild_wildi_alt_W_Zermatt_VS11_IJMG,Grammatik,Adjektiv,Der Geissbock ist wild,296
49,4,60,Löwenzahn,Schwiiblueme±,alt,W,Linthal-Auen GL,GL01,PRTT,060_Löwenzahn_Schwiiblueme-_alt_W_Linthal-Auen_GL01_PRTT,Wortschatz,Haus und Garten,Löwenzahn,60
50,16,298,ich,iich bi(n) iich pi(n),alt,M,Würenlingen AG,AG10,OGQG,298_ich_iich_bi(n)_iich_pi(n)_alt_M_Würenlingen_AG10_OGQG,Grammatik,Pronomen,ich,298
51,3,52,Eidechse,Lüüscheetru,jung,W,Salgesch VS,VS06,HFCS,052_Eidechse_Lüüscheetru_jung_W_Salgesch_VS06_HFCS,Wortschatz,Tier,Eidechse,52
52,13,256,ich komme,chumu,jung,M,Saas-Grund VS,VS05,GXEB,256_ich_komme_chumu_jung_M_Saas-Grund_VS05_GXEB,Grammatik,Verb,ich komme,256
53,10,226,sechs,ggs,jung,W,Schiers GR,GR06,BYRX,226_sechs_ggs_jung_W_Schiers_GR06_BYRX,Lautung,Konsonanten,sechs,226
54,23,362,Vergleichstext,Lesesprache,jung,M,Bern BE,BE03,HFSV,362_Vergleichstext_Lesesprache_jung_M_Bern_BE03_HFSV,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
55,9,166,Käse,ee,jung,W,Zermatt VS,VS11,EBCW,166_Käse_ee_jung_W_Zermatt_VS11_EBCW,Lautung,Vokale,Käse,166
56,10,228,gern,ren,alt,M,Grindelwald BE,BE10,RVPF,228_gern_ren_alt_M_Grindelwald_BE10_RVPF,Lautung,Konsonanten,gern,228
57,5,104,Schoggistängeli,Schoggirigel±,jung,M,Hospental UR,UR02,BDGM,104_Schoggistängeli_Schoggirigel-_jung_M_Hospental_UR02_BDGM,Wortschatz,Essen und Trinken,Schoggistängeli,104
58,3,48,Kater,Moudi,alt,W,Blumenstein BE,BE05,HUYI,048_Kater_Moudi_alt_W_Blumenstein_BE05_HUYI,Wortschatz,Tier,Kater,48
59,2,30,nichts,nüt nüd,jung,M,Basel BS,BS01,KEZZ,030_nichts_nüt_nüd_jung_M_Basel_BS01_KEZZ,Wortschatz,Häufige Wörter,nichts,30
60,7,138,Taschentuch,Schnu(u)derhudel,alt,M,Adelboden BE,BE02,BGTK,138_Taschentuch_Schnu(u)derhudel_alt_M_Adelboden_BE02_BGTK,Wortschatz,Gesellschaft,Taschentuch,138
61,7,130,Ohrfeige,Watsch(e)±,jung,W,Zofingen AG,AG11,XUAK,130_Ohrfeige_Watsch(e)-_jung_W_Zofingen_AG11_XUAK,Wortschatz,Gesellschaft,Ohrfeige,130
62,20,346,Grussformeln beim Wandern,Grüezi,alt,M,Bülach ZH,ZH02,AWQT,346_Grussformeln_beim_Wandern_Grüezi_alt_M_Bülach_ZH02_AWQT,Sprache im Alltag,Grussformeln,Grussformeln beim Wandern,346
63,10,228,gern,r,alt,W,Düdingen FR,FR01,LOHZ,228_gern_r_alt_W_Düdingen_FR01_LOHZ,Lautung,Konsonanten,gern,228
64,6,112,Dutt,Rugel(i),alt,M,Lungern OW,OW02,BDJF,112_Dutt_Rugel(i)_alt_M_Lungern_OW02_BDJF,Wortschatz,Mensch,Dutt,112
65,5,82,Überrest eines Apfels,Gröibschi,alt,W,Münchenbuchsee BE,BE18,FAHE,082_Überrest_eines_Apfels_Gröibschi_alt_W_Münchenbuchsee_BE18_FAHE,Wortschatz,Essen und Trinken,Überrest eines Apfels,82
66,4,60,Löwenzahn,Schwiimeie±,alt,M,Zermatt VS,VS11,KOOG,060_Löwenzahn_Schwiimeie-_alt_M_Zermatt_VS11_KOOG,Wortschatz,Haus und Garten,Löwenzahn,60
67,4,70,Zaun,Gländer,jung,M,Büren BE,BE06,EJPH,070_Zaun_Gländer_jung_M_Büren_BE06_EJPH,Wortschatz,Haus und Garten,Zaun,70
68,23,362,Vergleichstext,Lesesprache,alt,M,Einsiedeln SZ,SZ01,GAUD,362_Vergleichstext_Lesesprache_alt_M_Einsiedeln_SZ01_GAUD,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
69,13,256,ich komme,chu,alt,W,Bosco Gurin TI,TI01,GJCI,256_ich_komme_chu_alt_W_Bosco_Gurin_TI01_GJCI,Grammatik,Verb,ich komme,256
70,0,252,Sprechgeschwindigkeit,langsam,alt,W,Escholzmatt LU,LU01,LQUM,252_Sprechgeschwindigkeit_langsam_alt_W_Escholzmatt_LU01_LQUM,,,Sprechgeschwindigkeit,252
71,18,334,Es kommt regnen,es chunt go rägne,alt,M,Igis GR,GR04,FSUY,334_Es_kommt_regnen_es_chunt_go_rägne_alt_M_Igis_GR04_FSUY,Grammatik,Satzbau,Es kommt regnen,334
72,23,362,Vergleichstext,Lesesprache,jung,W,Diepoldsau SG,SG01,SRJK,362_Vergleichstext_Lesesprache_jung_W_Diepoldsau_SG01_SRJK,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
73,9,172,Brot,oe,jung,W,Oberriet SG,SG07,EXRW,172_Brot_oe_jung_W_Oberriet_SG07_EXRW,Lautung,Vokale,Brot,172
74,23,362,Vergleichstext,Lesesprache,alt,M,Rheinwald Hinterrhein GR,GR10,GYLR,362_Vergleichstext_Lesesprache_alt_M_Rheinwald_Hinterrhein_GR10_GYLR,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
75,3,48,Kater,Rol(l)i,jung,W,Schiers GR,GR06,KNPB,048_Kater_Rol(l)i_jung_W_Schiers_GR06_KNPB,Wortschatz,Tier,Kater,48
76,17,314,Teller,das,alt,W,Blumenstein BE,BE05,TFBR,314_Teller_das_alt_W_Blumenstein_BE05_TFBR,Grammatik,Genus,Teller,314
77,3,54,Biene,Biene,jung,W,Wilchingen SH,SH02,TIKO,054_Biene_Biene_jung_W_Wilchingen_SH02_TIKO,Wortschatz,Tier,Biene,54
78,23,362,Vergleichstext,Lesesprache,alt,M,Altdorf UR,UR01,EVQN,362_Vergleichstext_Lesesprache_alt_M_Altdorf_UR01_EVQN,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
79,7,132,kneifen,chlemme,jung,W,Blumenstein BE,BE05,FPKO,132_kneifen_chlemme_jung_W_Blumenstein_BE05_FPKO,Wortschatz,Gesellschaft,kneifen,132
80,5,86,Rande,Randig,jung,M,Diepoldsau SG,SG01,VQED,086_Rande_Randig_jung_M_Diepoldsau_SG01_VQED,Wortschatz,Essen und Trinken,Rande,86
81,14,274,Tanne Plural,Tanna Tannene,alt,W,Thusis GR,GR08,IZNJ,274_Tanne_Plural_Tanna_Tannene_alt_W_Thusis_GR08_IZNJ,Grammatik,Substantiv,Tanne Plural,274
82,2,34,jemand,öpper(t),alt,W,Würenlingen AG,AG10,RXSC,034_jemand_öpper(t)_alt_W_Würenlingen_AG10_RXSC,Wortschatz,Häufige Wörter,jemand,34
83,15,296,Die Geissbock ist wild,wildi,jung,W,Bosco Gurin TI,TI01,MCMB,296_Die_Geissbock_ist_wild_wildi_jung_W_Bosco_Gurin_TI01_MCMB,Grammatik,Adjektiv,Die Geissbock ist wild,296
84,9,186,Geiss,äi,jung,W,Churwalden GR,GR02,LAKO,186_Geiss_äi_jung_W_Churwalden_GR02_LAKO,Lautung,Vokale,Geiss,186
85,2,34,jemand,epper(t),jung,W,Meiringen BE,BE17,SNDV,034_jemand_epper(t)_jung_W_Meiringen_BE17_SNDV,Wortschatz,Häufige Wörter,jemand,34
86,3,54,Biene,Bii(j)i,jung,W,Turtmann VS,VS09,BFKG,054_Biene_Bii(j)i_jung_W_Turtmann_VS09_BFKG,Wortschatz,Tier,Biene,54
87,10,232,finden,nd,jung,W,Winterthur ZH,ZH06,UFAM,232_finden_nd_jung_W_Winterthur_ZH06_UFAM,Lautung,Konsonanten,finden,232
88,4,60,Löwenzahn,Söiblueme±,alt,M,Konolfingen BE,BE13,XNEG,060_Löwenzahn_Söiblueme-_alt_M_Konolfingen_BE13_XNEG,Wortschatz,Haus und Garten,Löwenzahn,60
89,9,172,Brot,oou,alt,W,Innerthal SZ,SZ02,STIG,172_Brot_oou_alt_W_Innerthal_SZ02_STIG,Lautung,Vokale,Brot,172
90,9,164,Abend (Endung),#NAME?,jung,W,Grabs SG,SG05,BUHM,164_Abend_(Endung)_-bet_jung_W_Grabs_SG05_BUHM,Lautung,Vokale,Abend (Endung),164
91,2,40,nach-auf,ga,jung,W,Schiers GR,GR06,BYRX,040_nach-auf_ga_jung_W_Schiers_GR06_BYRX,Wortschatz,Häufige Wörter,nach-auf,40
92,6,112,Dutt,Chnöiel±,alt,M,Wollerau + Freienbach SZ,SZ05,YDIO,112_Dutt_Chnöiel-_alt_M_Wollerau___Freienbach_SZ05_YDIO,Wortschatz,Mensch,Dutt,112
93,13,268,gebracht,gibrungu,alt,W,Turtmann VS,VS09,LSIS,268_gebracht_gibrungu_alt_W_Turtmann_VS09_LSIS,Grammatik,Verb,gebracht,268
94,6,116,Schnupfen,Schnu(u)ppe(r),jung,M,Zofingen AG,AG11,VITE,116_Schnupfen_Schnu(u)ppe(r)_jung_M_Zofingen_AG11_VITE,Wortschatz,Mensch,Schnupfen,116
95,9,200,tief,ǜǜ,jung,M,Zweisimmen BE,BE25,XDYX,200_tief_ǜǜ_jung_M_Zweisimmen_BE25_XDYX,Lautung,Vokale,tief,200
96,23,362,Vergleichstext,Lesesprache,jung,W,Wilchingen SH,SH02,HGBP,362_Vergleichstext_Lesesprache_jung_W_Wilchingen_SH02_HGBP,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
97,6,114,Schluckauf,Gluxi Gluxer±,alt,W,Münchenbuchsee BE,BE18,CYKL,114_Schluckauf_Gluxi_Gluxer-_alt_W_Münchenbuchsee_BE18_CYKL,Wortschatz,Mensch,Schluckauf,114
98,9,200,tief,ǜǜ,alt,M,Zweisimmen BE,BE25,TUSD,200_tief_ǜǜ_alt_M_Zweisimmen_BE25_TUSD,Lautung,Vokale,tief,200
99,18,322,Mirjams Hut,der Huet vor vo der Mirjam,alt,M,Igis GR,GR04,FSUY,322_Mirjams_Hut_der_Huet_vor_vo_der_Mirjam_alt_M_Igis_GR04_FSUY,Grammatik,Satzbau,Mirjams Hut,322
100,7,124,Glasmurmeln,Chlu(u)ri,alt,W,Schaffhausen SH,SH01,VETL,124_Glasmurmeln_Chlu(u)ri_alt_W_Schaffhausen_SH01_VETL,Wortschatz,Gesellschaft,Glasmurmeln,124
101,3,56,Heuschrecke,Straffel,jung,M,St. Niklaus VS,VS08,HHHE,056_Heuschrecke_Straffel_jung_M_St._Niklaus_VS08_HHHE,Wortschatz,Tier,Heuschrecke,56
102,5,84,Heidelbeere,Heidelbe(e)r(i),alt,M,Weinfelden TG,TG06,WNMA,084_Heidelbeere_Heidelbe(e)r(i)_alt_M_Weinfelden_TG06_WNMA,Wortschatz,Essen und Trinken,Heidelbeere,84
103,9,166,Käse,ie,jung,M,Jaun FR,FR04,DGSC,166_Käse_ie_jung_M_Jaun_FR04_DGSC,Lautung,Vokale,Käse,166
104,9,206,Brille,Brülle l-vokalisiert,alt,M,Konolfingen BE,BE13,XNEG,206_Brille_Brülle_l-vokalisiert_alt_M_Konolfingen_BE13_XNEG,Lautung,Vokale,Brille,206
105,5,86,Rande,roo(t)i Rüebe,alt,W,Turtmann VS,VS09,SION,086_Rande_roo(t)i_Rüebe_alt_W_Turtmann_VS09_SION,Wortschatz,Essen und Trinken,Rande,86
106,2,40,nach-auf,z,jung,W,Bosco Gurin TI,TI01,FVIK,040_nach-auf_z_jung_W_Bosco_Gurin_TI01_FVIK,Wortschatz,Häufige Wörter,nach-auf,40
107,6,112,Dutt,Bürzi,alt,W,Bern BE,BE03,SFID,112_Dutt_Bürzi_alt_W_Bern_BE03_SFID,Wortschatz,Mensch,Dutt,112
108,14,278,Bett Plural,Betti,alt,W,Saas-Grund VS,VS05,QDBA,278_Bett_Plural_Betti_alt_W_Saas-Grund_VS05_QDBA,Grammatik,Substantiv,Bett Plural,278
109,4,70,Zaun,Zuu,alt,W,Vättis SG,SG11,CBHV,070_Zaun_Zuu_alt_W_Vättis_SG11_CBHV,Wortschatz,Haus und Garten,Zaun,70
110,4,78,Sofa,Ggu(u)tschi,alt,W,Churwalden GR,GR02,IKIA,078_Sofa_Ggu(u)tschi_alt_W_Churwalden_GR02_IKIA,Wortschatz,Haus und Garten,Sofa,78
111,20,342,Grussformeln (nachmittags),Grüessech,jung,M,Spiez Faulensee BE,BE08,ZJOB,342_Grussformeln_(nachmittags)_Grüessech_jung_M_Spiez_Faulensee_BE08_ZJOB,Sprache im Alltag,Grussformeln,Grussformeln (nachmittags),342
112,5,86,Rande,Räätech,jung,W,Meiringen BE,BE17,SNDV,086_Rande_Räätech_jung_W_Meiringen_BE17_SNDV,Wortschatz,Essen und Trinken,Rande,86
113,13,268,gebracht,gibrungu,jung,W,Turtmann VS,VS09,IGVA,268_gebracht_gibrungu_jung_W_Turtmann_VS09_IGVA,Grammatik,Verb,gebracht,268
114,7,132,kneifen,pitzge,alt,M,Schmitten GR,GR07,WNIY,132_kneifen_pitzge_alt_M_Schmitten_GR07_WNIY,Wortschatz,Gesellschaft,kneifen,132
115,5,100,Bonbon,Zuckerli,jung,M,St. Niklaus VS,VS08,IMMC,100_Bonbon_Zuckerli_jung_M_St._Niklaus_VS08_IMMC,Wortschatz,Essen und Trinken,Bonbon,100
116,23,362,Vergleichstext,Lesesprache,jung,W,Blumenstein BE,BE05,FPKO,362_Vergleichstext_Lesesprache_jung_W_Blumenstein_BE05_FPKO,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
117,18,322,Mirjams Hut,ar a der Mirjams Huet,jung,M,Plaffeien FR,FR06,GNMQ,322_Mirjams_Hut_ar_a_der_Mirjams_Huet_jung_M_Plaffeien_FR06_GNMQ,Grammatik,Satzbau,Mirjams Hut,322
118,13,266,"tragen, getragen","trääge, traat",alt,M,Wilchingen SH,SH02,TMQT,"266_tragen,_getragen_trääge,_traat_alt_M_Wilchingen_SH02_TMQT",Grammatik,Verb,"tragen, getragen",266
119,20,340,Grussformeln (mittags),Grüessech,alt,W,Bern BE,BE03,GOAU,340_Grussformeln_(mittags)_Grüessech_alt_W_Bern_BE03_GOAU,Sprache im Alltag,Grussformeln,Grussformeln (mittags),340
120,2,42,hinauf,emüüf±,jung,M,Turtmann VS,VS09,DMSW,042_hinauf_emüüf-_jung_M_Turtmann_VS09_DMSW,Wortschatz,Häufige Wörter,hinauf,42
121,0,252,Sprechgeschwindigkeit,langsam,jung,W,Adelboden BE,BE02,YCXF,252_Sprechgeschwindigkeit_langsam_jung_W_Adelboden_BE02_YCXF,,,Sprechgeschwindigkeit,252
122,18,330,gewesen bin,(won i es Chind) bi(n) gsii,jung,M,Lauterbrunnen BE,BE16,XQYH,330_gewesen_bin_(won_i_es_Chind)_bi(n)_gsii_jung_M_Lauterbrunnen_BE16_XQYH,Grammatik,Satzbau,gewesen bin,330
123,7,122,Puppe,Puppe±,jung,W,Igis GR,GR04,XAEL,122_Puppe_Puppe-_jung_W_Igis_GR04_XAEL,Wortschatz,Gesellschaft,Puppe,122
124,17,316,Hochzeit,die,alt,W,Zermatt VS,VS11,FVIZ,316_Hochzeit_die_alt_W_Zermatt_VS11_FVIZ,Grammatik,Genus,Hochzeit,316
125,6,108,Sommersprossen,Merzespriggel±,jung,W,Amriswil TG,TG01,CBVP,108_Sommersprossen_Merzespriggel-_jung_W_Amriswil_TG01_CBVP,Wortschatz,Mensch,Sommersprossen,108
126,5,100,Bonbon,Trops(li) Tröpsli±,jung,W,Weggis LU,LU05,EPQP,100_Bonbon_Trops(li)_Tröpsli-_jung_W_Weggis_LU05_EPQP,Wortschatz,Essen und Trinken,Bonbon,100
127,3,54,Biene,Biili,alt,M,Muotathal SZ,SZ03,AOLG,054_Biene_Biili_alt_M_Muotathal_SZ03_AOLG,Wortschatz,Tier,Biene,54
128,6,114,Schluckauf,Tschuggi,alt,W,Bosco Gurin TI,TI01,GJCI,114_Schluckauf_Tschuggi_alt_W_Bosco_Gurin_TI01_GJCI,Wortschatz,Mensch,Schluckauf,114
129,7,124,Glasmurmeln,Marmle,alt,M,Zweisimmen BE,BE25,TUSD,124_Glasmurmeln_Marmle_alt_M_Zweisimmen_BE25_TUSD,Wortschatz,Gesellschaft,Glasmurmeln,124
130,16,300,dich-dir,dich,alt,W,Fischingen TG,TG03,FPFX,300_dich-dir_dich_alt_W_Fischingen_TG03_FPFX,Grammatik,Pronomen,dich-dir,300
131,7,124,Glasmurmeln,Märbeli,alt,M,Gränichen AG,AG05,PWBS,124_Glasmurmeln_Märbeli_alt_M_Gränichen_AG05_PWBS,Wortschatz,Gesellschaft,Glasmurmeln,124
132,9,148,Wespe,è,alt,M,Weinfelden TG,TG06,WNMA,148_Wespe_è_alt_M_Weinfelden_TG06_WNMA,Lautung,Vokale,Wespe,148
133,7,124,Glasmurmeln,Murmle,alt,W,Sarnen + Kägiswil OW,OW03,ANTS,124_Glasmurmeln_Murmle_alt_W_Sarnen___Kägiswil_OW03_ANTS,Wortschatz,Gesellschaft,Glasmurmeln,124
134,2,34,jemand,öpper(t),jung,W,Würenlingen AG,AG10,CRWO,034_jemand_öpper(t)_jung_W_Würenlingen_AG10_CRWO,Wortschatz,Häufige Wörter,jemand,34
135,2,42,hinauf,u(u)f,alt,W,Schiers GR,GR06,XEUG,042_hinauf_u(u)f_alt_W_Schiers_GR06_XEUG,Wortschatz,Häufige Wörter,hinauf,42
136,4,72,schaukeln,geiggu,jung,W,Blatten VS,VS01,GOLW,072_schaukeln_geiggu_jung_W_Blatten_VS01_GOLW,Wortschatz,Haus und Garten,schaukeln,72
137,5,96,Brotanschnitt,Chröpfli Chropf,alt,W,Basel BS,BS01,EJSR,096_Brotanschnitt_Chröpfli_Chropf_alt_W_Basel_BS01_EJSR,Wortschatz,Essen und Trinken,Brotanschnitt,96
138,23,362,Vergleichstext,Lesesprache,alt,W,Churwalden GR,GR02,IKIA,362_Vergleichstext_Lesesprache_alt_W_Churwalden_GR02_IKIA,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
